algo,temps,size
mergesort_threshold, 0.010936,1000
mergesort_threshold, 0.009907,1000
mergesort_threshold, 0.010239,1000
mergesort_threshold, 0.010485,1000
mergesort_threshold, 0.010892,1000
mergesort_threshold, 0.009865,1000
mergesort_threshold, 0.010406,1000
mergesort_threshold, 0.009814,1000
mergesort_threshold, 0.009922,1000
mergesort_threshold, 0.009931,1000
mergesort_threshold, 0.009826,1010
mergesort_threshold, 0.009912,1010
mergesort_threshold, 0.010027,1010
mergesort_threshold, 0.009862,1010
mergesort_threshold, 0.011099,1010
mergesort_threshold, 0.009946,1010
mergesort_threshold, 0.009886,1010
mergesort_threshold, 0.009873,1010
mergesort_threshold, 0.010093,1010
mergesort_threshold, 0.010406,1010
mergesort_threshold, 0.009763,1020
mergesort_threshold, 0.010025,1020
mergesort_threshold, 0.009891,1020
mergesort_threshold, 0.010746,1020
mergesort_threshold, 0.010998,1020
mergesort_threshold, 0.009809,1020
mergesort_threshold, 0.010586,1020
mergesort_threshold, 0.011075,1020
mergesort_threshold, 0.009940,1020
mergesort_threshold, 0.009935,1020
mergesort_threshold, 0.010603,1030
mergesort_threshold, 0.009944,1030
mergesort_threshold, 0.010027,1030
mergesort_threshold, 0.010009,1030
mergesort_threshold, 0.009868,1030
mergesort_threshold, 0.009949,1030
mergesort_threshold, 0.010084,1030
mergesort_threshold, 0.009928,1030
mergesort_threshold, 0.010007,1030
mergesort_threshold, 0.010049,1030
mergesort_threshold, 0.009946,1040
mergesort_threshold, 0.010652,1040
mergesort_threshold, 0.010034,1040
mergesort_threshold, 0.010102,1040
mergesort_threshold, 0.010009,1040
mergesort_threshold, 0.010001,1040
mergesort_threshold, 0.009988,1040
mergesort_threshold, 0.011101,1040
mergesort_threshold, 0.011168,1040
mergesort_threshold, 0.010574,1040
mergesort_threshold, 0.011248,1050
mergesort_threshold, 0.010698,1050
mergesort_threshold, 0.011170,1050
mergesort_threshold, 0.010110,1050
mergesort_threshold, 0.010806,1050
mergesort_threshold, 0.009989,1050
mergesort_threshold, 0.009852,1050
mergesort_threshold, 0.009945,1050
mergesort_threshold, 0.010868,1050
