algo,temps,size
mergesort_threshold, 0.009658,1000
mergesort_threshold, 0.010777,1000
mergesort_threshold, 0.011910,1000
mergesort_threshold, 0.009799,1000
mergesort_threshold, 0.010569,1000
mergesort_threshold, 0.011536,1000
mergesort_threshold, 0.009761,1000
mergesort_threshold, 0.009855,1000
mergesort_threshold, 0.010243,1000
mergesort_threshold, 0.009785,1000
mergesort_threshold, 0.009652,1010
mergesort_threshold, 0.010378,1010
mergesort_threshold, 0.010571,1010
mergesort_threshold, 0.010887,1010
mergesort_threshold, 0.011031,1010
mergesort_threshold, 0.009899,1010
mergesort_threshold, 0.010032,1010
mergesort_threshold, 0.010489,1010
mergesort_threshold, 0.011090,1010
mergesort_threshold, 0.010447,1010
mergesort_threshold, 0.011095,1020
mergesort_threshold, 0.010344,1020
mergesort_threshold, 0.010086,1020
mergesort_threshold, 0.009957,1020
mergesort_threshold, 0.010049,1020
mergesort_threshold, 0.010385,1020
mergesort_threshold, 0.011000,1020
mergesort_threshold, 0.010372,1020
mergesort_threshold, 0.009634,1020
mergesort_threshold, 0.009864,1020
mergesort_threshold, 0.009848,1030
mergesort_threshold, 0.010054,1030
mergesort_threshold, 0.009997,1030
mergesort_threshold, 0.010057,1030
mergesort_threshold, 0.009957,1030
mergesort_threshold, 0.010036,1030
mergesort_threshold, 0.010985,1030
mergesort_threshold, 0.009719,1030
mergesort_threshold, 0.010055,1030
mergesort_threshold, 0.009982,1030
mergesort_threshold, 0.010262,1040
mergesort_threshold, 0.009998,1040
mergesort_threshold, 0.009962,1040
mergesort_threshold, 0.011017,1040
mergesort_threshold, 0.009946,1040
mergesort_threshold, 0.009934,1040
mergesort_threshold, 0.010104,1040
mergesort_threshold, 0.010182,1040
mergesort_threshold, 0.011133,1040
