algo,taille,temps
stdsort,50000, 0.003128
stdsort,5000, 0.000350
stdsort,50000, 0.004913
stdsort,500000, 0.031828
stdsort,5000, 0.000291
stdsort,50000, 0.002983
stdsort,50000, 0.003318
stdsort,500000, 0.032378
stdsort,1000, 0.000042
stdsort,100000, 0.006220
stdsort,100000, 0.006196
stdsort,10000, 0.000580
stdsort,500000, 0.032573
stdsort,50000, 0.003544
stdsort,10000, 0.000589
stdsort,10000, 0.000954
stdsort,10000, 0.000761
stdsort,100000, 0.005556
stdsort,500000, 0.029650
stdsort,500000, 0.031203
stdsort,100000, 0.006261
stdsort,100000, 0.006162
stdsort,50000, 0.003101
stdsort,10000, 0.000732
stdsort,500000, 0.030254
stdsort,1000, 0.000050
stdsort,1000, 0.000075
stdsort,1000, 0.000086
stdsort,500000, 0.029879
stdsort,500000, 0.030610
stdsort,5000, 0.000359
stdsort,50000, 0.003062
stdsort,50000, 0.003694
stdsort,1000, 0.000041
stdsort,100000, 0.006069
stdsort,100000, 0.005555
stdsort,10000, 0.000530
stdsort,1000, 0.000084
stdsort,10000, 0.001413
stdsort,100000, 0.005471
stdsort,10000, 0.000526
stdsort,1000, 0.000079
stdsort,5000, 0.000293
stdsort,5000, 0.000462
stdsort,5000, 0.000635
stdsort,1000, 0.000065
stdsort,500000, 0.030630
stdsort,10000, 0.000476
stdsort,1000, 0.000034
stdsort,50000, 0.002792
stdsort,5000, 0.000216
stdsort,10000, 0.000670
stdsort,50000, 0.004569
stdsort,5000, 0.000372
stdsort,100000, 0.006222
stdsort,5000, 0.000364
stdsort,100000, 0.005691
stdsort,5000, 0.000248
stdsort,1000, 0.000079
stdsort,500000, 0.029525
mergesort,50000, 0.007976
mergesort,5000, 0.000873
mergesort,50000, 0.005510
mergesort,500000, 0.058539
mergesort,5000, 0.000579
mergesort,50000, 0.006184
mergesort,50000, 0.006779
mergesort,500000, 0.058940
mergesort,1000, 0.000104
mergesort,100000, 0.010849
mergesort,100000, 0.011130
mergesort,10000, 0.001326
mergesort,500000, 0.058033
mergesort,50000, 0.005372
mergesort,10000, 0.001727
mergesort,10000, 0.002677
mergesort,10000, 0.001309
mergesort,100000, 0.010842
mergesort,500000, 0.057729
mergesort,500000, 0.059800
mergesort,100000, 0.010779
mergesort,100000, 0.011951
mergesort,50000, 0.006168
mergesort,10000, 0.001327
mergesort,500000, 0.057478
mergesort,1000, 0.000101
mergesort,1000, 0.000165
mergesort,1000, 0.000213
mergesort,500000, 0.058865
mergesort,500000, 0.058764
mergesort,5000, 0.000576
mergesort,50000, 0.007056
mergesort,50000, 0.006553
mergesort,1000, 0.000108
mergesort,100000, 0.010886
mergesort,100000, 0.011322
mergesort,10000, 0.001800
mergesort,1000, 0.000164
mergesort,10000, 0.002795
mergesort,100000, 0.010709
mergesort,10000, 0.001393
mergesort,1000, 0.000147
mergesort,5000, 0.000913
mergesort,5000, 0.001276
mergesort,5000, 0.001116
mergesort,1000, 0.000211
mergesort,500000, 0.059427
mergesort,10000, 0.001201
mergesort,1000, 0.000162
mergesort,50000, 0.007924
mergesort,5000, 0.000686
mergesort,10000, 0.002242
mergesort,50000, 0.006610
mergesort,5000, 0.000658
mergesort,100000, 0.010827
mergesort,5000, 0.000656
mergesort,100000, 0.010773
mergesort,5000, 0.000761
mergesort,1000, 0.000183
mergesort,500000, 0.057231
insertion_sort,50000, 0.153455
insertion_sort,5000, 0.001549
insertion_sort,50000, 0.154691
insertion_sort,500000, 19.793486
insertion_sort,5000, 0.001117
insertion_sort,50000, 0.171463
insertion_sort,50000, 0.173176
insertion_sort,500000, 18.419463
insertion_sort,1000, 0.000112
insertion_sort,100000, 0.679695
insertion_sort,100000, 0.672093
insertion_sort,10000, 0.006815
insertion_sort,500000, 18.716229
insertion_sort,50000, 0.154268
insertion_sort,10000, 0.008348
insertion_sort,10000, 0.008394
insertion_sort,10000, 0.008147
insertion_sort,100000, 0.673394
insertion_sort,500000, 20.742229
insertion_sort,500000, 19.850894
insertion_sort,100000, 0.725033
insertion_sort,100000, 0.710353
insertion_sort,50000, 0.166544
insertion_sort,10000, 0.009038
insertion_sort,500000, 18.755905
insertion_sort,1000, 0.000098
insertion_sort,1000, 0.000159
insertion_sort,1000, 0.000201
insertion_sort,500000, 18.919877
insertion_sort,500000, 18.663619
insertion_sort,5000, 0.001460
insertion_sort,50000, 0.163761
insertion_sort,50000, 0.156810
insertion_sort,1000, 0.000092
insertion_sort,100000, 0.698528
insertion_sort,100000, 0.692246
insertion_sort,10000, 0.007335
insertion_sort,1000, 0.000091
insertion_sort,10000, 0.008814
insertion_sort,100000, 0.687585
insertion_sort,10000, 0.006197
insertion_sort,1000, 0.000147
insertion_sort,5000, 0.002012
insertion_sort,5000, 0.001232
insertion_sort,5000, 0.001098
insertion_sort,1000, 0.000095
insertion_sort,500000, 18.359914
insertion_sort,10000, 0.005136
insertion_sort,1000, 0.000092
insertion_sort,50000, 0.154043
insertion_sort,5000, 0.001112
insertion_sort,10000, 0.005244
insertion_sort,50000, 0.158350
insertion_sort,5000, 0.001336
insertion_sort,100000, 0.678374
insertion_sort,5000, 0.001116
insertion_sort,100000, 0.682586
insertion_sort,5000, 0.001248
insertion_sort,1000, 0.000157
insertion_sort,500000, 18.407639
