algo,taille,temps
mergesort_threshold,50000, 0.008426
mergesort_threshold,5000, 0.000710
mergesort_threshold,50000, 0.008464
mergesort_threshold,500000, 0.056001
mergesort_threshold,5000, 0.000896
mergesort_threshold,50000, 0.005868
mergesort_threshold,50000, 0.007932
mergesort_threshold,500000, 0.056021
mergesort_threshold,1000, 0.000101
mergesort_threshold,100000, 0.011728
mergesort_threshold,100000, 0.011810
mergesort_threshold,10000, 0.001449
mergesort_threshold,500000, 0.055626
mergesort_threshold,50000, 0.005868
mergesort_threshold,10000, 0.001155
mergesort_threshold,10000, 0.002245
mergesort_threshold,10000, 0.002590
mergesort_threshold,100000, 0.011814
mergesort_threshold,500000, 0.055802
mergesort_threshold,500000, 0.055519
mergesort_threshold,100000, 0.012032
mergesort_threshold,100000, 0.012228
mergesort_threshold,50000, 0.007572
mergesort_threshold,10000, 0.001158
mergesort_threshold,500000, 0.055768
mergesort_threshold,1000, 0.000095
mergesort_threshold,1000, 0.000228
mergesort_threshold,1000, 0.000188
mergesort_threshold,500000, 0.055896
mergesort_threshold,500000, 0.055543
mergesort_threshold,5000, 0.000621
mergesort_threshold,50000, 0.007625
mergesort_threshold,50000, 0.008205
mergesort_threshold,1000, 0.000091
mergesort_threshold,100000, 0.011782
mergesort_threshold,100000, 0.012038
mergesort_threshold,10000, 0.001233
mergesort_threshold,1000, 0.000144
mergesort_threshold,10000, 0.002220
mergesort_threshold,100000, 0.012574
mergesort_threshold,10000, 0.001771
mergesort_threshold,1000, 0.000155
mergesort_threshold,5000, 0.001246
mergesort_threshold,5000, 0.001077
mergesort_threshold,5000, 0.001147
mergesort_threshold,1000, 0.000177
mergesort_threshold,500000, 0.056007
mergesort_threshold,10000, 0.001753
mergesort_threshold,1000, 0.000165
mergesort_threshold,50000, 0.007398
mergesort_threshold,5000, 0.000903
mergesort_threshold,10000, 0.002566
mergesort_threshold,50000, 0.008522
mergesort_threshold,5000, 0.000708
mergesort_threshold,100000, 0.011714
mergesort_threshold,5000, 0.000681
mergesort_threshold,100000, 0.012284
mergesort_threshold,5000, 0.000561
mergesort_threshold,1000, 0.000149
mergesort_threshold,500000, 0.056197
