algo,taille,serie,temps,hauteur
tabou,500,6, 0.036899 ,68325
tabou,100000,5, 60.764228 ,103047962
tabou,50000,9, 19.485036 ,36675892
tabou,1000,6, 0.135666 ,211541
tabou,100000,3, 44.173729 ,92525110
tabou,500,7, 0.056867 ,77318
tabou,50000,7, 30.124284 ,48120629
tabou,1000,1, 0.065998 ,146952
tabou,100000,4, 89.477824 ,129640950
tabou,50000,2, 17.818370 ,30996235
tabou,1000,7, 0.118520 ,178535
tabou,100000,7, 79.578221 ,119984619
tabou,50000,1, 19.374289 ,31816094
tabou,500,4, 0.067804 ,67014
tabou,10000,3, 2.239434 ,4629653
tabou,100,3, 0.003977 ,7282
tabou,500,2, 0.038616 ,59694
tabou,100,9, 0.006008 ,7157
tabou,5000,10, 0.530626 ,1224130
tabou,500,5, 0.068232 ,74386
tabou,100000,1, 83.815393 ,114715293
tabou,5000,8, 0.684848 ,1546116
tabou,100,2, 0.005872 ,7979
tabou,100,7, 0.004826 ,7474
tabou,50000,8, 23.607392 ,43909399
tabou,5000,1, 1.350356 ,1869401
tabou,50000,4, 24.859522 ,32766023
tabou,1000,3, 0.208905 ,169723
tabou,1000,9, 0.100499 ,166095
tabou,5000,5, 0.640949 ,1363186
tabou,100000,9, 51.735985 ,93678159
tabou,500,9, 0.077162 ,78922
tabou,1000,2, 0.127486 ,194154
tabou,5000,3, 0.471926 ,1108723
tabou,10000,7, 2.145424 ,3530788
tabou,10000,2, 1.964568 ,4618204
tabou,10000,9, 2.458468 ,4830954
tabou,10000,5, 3.153162 ,4809800
tabou,100,1, 0.007988 ,6986
tabou,100000,8, 125.003682 ,130924887
tabou,1000,10, 0.161849 ,207629
tabou,10000,10, 3.365526 ,5821619
tabou,100,10, 0.002516 ,4339
tabou,5000,9, 0.664078 ,1260656
tabou,500,8, 0.074377 ,55750
tabou,100000,2, 77.891192 ,128412913
tabou,100,5, 0.005831 ,6567
tabou,5000,7, 0.657558 ,1435952
tabou,10000,4, 1.242084 ,2428685
tabou,100,4, 0.005317 ,8815
tabou,500,3, 0.065311 ,83052
tabou,5000,6, 0.665743 ,1501014
tabou,100000,10, 87.444114 ,129044482
tabou,10000,6, 2.698374 ,4936463
tabou,50000,3, 19.523740 ,37029471
tabou,50000,6, 15.484940 ,26204045
tabou,100000,6, 69.419073 ,108445784
tabou,5000,2, 1.228169 ,2214314
tabou,50000,10, 14.204303 ,31656777
tabou,10000,8, 2.563520 ,4892973
tabou,100,8, 0.004357 ,5870
tabou,500,1, 0.046251 ,64066
tabou,100,6, 0.002411 ,7890
tabou,500,10, 0.041311 ,61919
tabou,1000,5, 0.099174 ,175190
tabou,50000,5, 17.346719 ,34003687
tabou,1000,4, 0.110833 ,212618
tabou,1000,8, 0.227447 ,226413
tabou,5000,4, 0.756805 ,1573221
tabou,10000,1, 2.607191 ,5282224
