algo,taille,serie,temps,hauteur
vorace,500,6,0.000092 ,51589
vorace,500,6,0.000088 ,48697
vorace,500,6,0.000097 ,46896
vorace,500,6,0.000089 ,49480
vorace,500,6,0.000091 ,47080
vorace,500,6,0.000111 ,45452
vorace,500,6,0.000089 ,44936
vorace,500,6,0.000096 ,47240
vorace,500,6,0.000108 ,49222
vorace,500,6,0.000090 ,41674
vorace,100000,5,0.029899 ,135180332
vorace,100000,5,0.029249 ,134584542
vorace,100000,5,0.026513 ,134475600
vorace,100000,5,0.027186 ,138168052
vorace,100000,5,0.027258 ,136494147
vorace,100000,5,0.026513 ,136931052
vorace,100000,5,0.026446 ,136860264
vorace,100000,5,0.028044 ,136257139
vorace,100000,5,0.026538 ,133956371
vorace,100000,5,0.026790 ,137403628
vorace,50000,9,0.012480 ,47611293
vorace,50000,9,0.012458 ,48001326
vorace,50000,9,0.012417 ,47006352
vorace,50000,9,0.012467 ,46245459
vorace,50000,9,0.012477 ,48213613
vorace,50000,9,0.012494 ,48855811
vorace,50000,9,0.012457 ,47653939
vorace,50000,9,0.012453 ,47637005
vorace,50000,9,0.012408 ,47637700
vorace,50000,9,0.012387 ,47252792
vorace,1000,6,0.000186 ,118751
vorace,1000,6,0.000185 ,114482
vorace,1000,6,0.000258 ,118775
vorace,1000,6,0.000257 ,133960
vorace,1000,6,0.000237 ,123785
vorace,1000,6,0.000185 ,132743
vorace,1000,6,0.000255 ,124490
vorace,1000,6,0.000185 ,129958
vorace,1000,6,0.000185 ,135248
vorace,1000,6,0.000184 ,120958
vorace,100000,3,0.027060 ,126854530
vorace,100000,3,0.026306 ,122831856
vorace,100000,3,0.026384 ,127166519
vorace,100000,3,0.026525 ,123451920
vorace,100000,3,0.027035 ,122469468
vorace,100000,3,0.026227 ,124549090
vorace,100000,3,0.026306 ,123069692
vorace,100000,3,0.031191 ,120156739
vorace,100000,3,0.026637 ,126639693
vorace,100000,3,0.026289 ,122555025
vorace,500,7,0.000095 ,43868
vorace,500,7,0.000089 ,39263
vorace,500,7,0.000114 ,37220
vorace,500,7,0.000142 ,39388
vorace,500,7,0.000136 ,40980
vorace,500,7,0.000129 ,37724
vorace,500,7,0.000129 ,34773
vorace,500,7,0.000104 ,40926
vorace,500,7,0.000089 ,33106
vorace,500,7,0.000092 ,37981
vorace,50000,7,0.012909 ,45880251
vorace,50000,7,0.012492 ,44588876
vorace,50000,7,0.012499 ,45434610
vorace,50000,7,0.012500 ,45563848
vorace,50000,7,0.012937 ,44512952
vorace,50000,7,0.012485 ,45120054
vorace,50000,7,0.012445 ,44442309
vorace,50000,7,0.012479 ,44413849
vorace,50000,7,0.012437 ,46669942
vorace,50000,7,0.012529 ,44283457
vorace,1000,1,0.000185 ,134293
vorace,1000,1,0.000271 ,126586
vorace,1000,1,0.000237 ,123810
vorace,1000,1,0.000238 ,118434
vorace,1000,1,0.000186 ,129658
vorace,1000,1,0.000186 ,124234
vorace,1000,1,0.000196 ,130032
vorace,1000,1,0.000209 ,126826
vorace,1000,1,0.000200 ,121682
vorace,1000,1,0.000186 ,115468
vorace,100000,4,0.026365 ,131157303
vorace,100000,4,0.026769 ,134084015
vorace,100000,4,0.032271 ,131142731
vorace,100000,4,0.032707 ,133505273
vorace,100000,4,0.030188 ,135084478
vorace,100000,4,0.027894 ,133361879
vorace,100000,4,0.027175 ,130088218
vorace,100000,4,0.026411 ,135257155
vorace,100000,4,0.026558 ,132902104
vorace,100000,4,0.026827 ,133246170
vorace,50000,2,0.012554 ,47406282
vorace,50000,2,0.012486 ,47730025
vorace,50000,2,0.012818 ,46108384
vorace,50000,2,0.013351 ,47313519
vorace,50000,2,0.013986 ,48514405
vorace,50000,2,0.016524 ,48745345
vorace,50000,2,0.016341 ,47669108
vorace,50000,2,0.014946 ,46475155
vorace,50000,2,0.015317 ,47946184
vorace,50000,2,0.015070 ,47237028
vorace,1000,7,0.000189 ,135973
vorace,1000,7,0.000196 ,120234
vorace,1000,7,0.000234 ,123690
vorace,1000,7,0.000197 ,148273
vorace,1000,7,0.000257 ,134302
vorace,1000,7,0.000192 ,129610
vorace,1000,7,0.000215 ,154970
vorace,1000,7,0.000184 ,132225
vorace,1000,7,0.000199 ,137234
vorace,1000,7,0.000189 ,126270
vorace,100000,7,0.030359 ,132793718
vorace,100000,7,0.027656 ,129132873
vorace,100000,7,0.028778 ,130670787
vorace,100000,7,0.028128 ,127675404
vorace,100000,7,0.026682 ,127481883
vorace,100000,7,0.027039 ,131052082
vorace,100000,7,0.026292 ,131395499
vorace,100000,7,0.027042 ,126381961
vorace,100000,7,0.026262 ,126773856
vorace,100000,7,0.027054 ,128832465
vorace,50000,1,0.012573 ,44512363
vorace,50000,1,0.012437 ,43218272
vorace,50000,1,0.012448 ,44632675
vorace,50000,1,0.012548 ,44395025
vorace,50000,1,0.012515 ,44160725
vorace,50000,1,0.012483 ,44294401
vorace,50000,1,0.012799 ,45925366
vorace,50000,1,0.012445 ,44833874
vorace,50000,1,0.012462 ,45411774
vorace,50000,1,0.012434 ,44237739
vorace,500,4,0.000114 ,41417
vorace,500,4,0.000089 ,40051
vorace,500,4,0.000092 ,47444
vorace,500,4,0.000122 ,40738
vorace,500,4,0.000117 ,46098
vorace,500,4,0.000089 ,40842
vorace,500,4,0.000089 ,41795
vorace,500,4,0.000091 ,50195
vorace,500,4,0.000089 ,41985
vorace,500,4,0.000088 ,45528
vorace,10000,3,0.002237 ,4372019
vorace,10000,3,0.002286 ,4352371
vorace,10000,3,0.002219 ,4033628
vorace,10000,3,0.002556 ,4479380
vorace,10000,3,0.002308 ,4053201
vorace,10000,3,0.002536 ,3965407
vorace,10000,3,0.002240 ,4017799
vorace,10000,3,0.002663 ,4296691
vorace,10000,3,0.002291 ,4128481
